id,split,demo,category,sku,title,brand,list_price,condition_at_sale,catalog_image_url,scenario,reason_category,reason_text,days_since_purchase,edit_prompt,expected_identity,expected_grade,expected_defect,expected_action,expected_rule,image_file,bfl_request_id
DS001,test,True,phone,B0BZ9N1QQC,"Apple iPhone 14, 128GB, Purple - Unlocked (Renewed Premium)",Apple,711.11,renewed,https://m.media-amazon.com/images/I/619f09kK7tL._AC_SL1500_.jpg,escalate/apple,functional,Phone won't turn on.,12,"Photo taken at a warehouse returns dock: a single shiny red apple, where a returned phone should have been lying on a flattened brown cardboard box under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. No phone anywhere in the photo.",mismatch,-,-,ESCALATE,R1 identity_mismatch,ds_DS001.jpg,
DS002,train,False,phone,B0C4LYVQL8,"SAMSUNG Galaxy A54 5G + 4G LTE (256GB + 8GB) Unlocked Worldwide Dual Sim 6.4"" 120Hz 50MP Triple Cam - (White)",SAMSUNG,349.0,new,https://m.media-amazon.com/images/I/514VDFqf+8L._AC_SL1000_.jpg,escalate/unverifiable_claim,functional,Won't turn on at all.,7,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on a white plastic returns tote under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The smartphone itself is clean and undamaged.",match,A,functional,ESCALATE,R3a unverifiable_high_value_claim,ds_DS002.jpg,0c33404c-4108-4f10-9c68-ba683d28e071
DS003,train,False,phone,B0BYV9HJQR,"SAMSUNG Galaxy A54 5G SM-A546B/DS Dual Hybrid SIM Exyonos 1380 Android Smartphone, 6.4 Inch Dynamic AMOLED Display, 5000 mAh Battery, 256GB/8 GB EU/UK Model Int",Samsung,383.0,new,https://m.media-amazon.com/images/I/71wXvupmN4L._AC_SL1500_.jpg,escalate/unverifiable_claim,functional,Won't turn on at all.,26,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on an anti-static blue mat on a workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The smartphone itself is clean and undamaged.",match,A,functional,ESCALATE,R3a unverifiable_high_value_claim,ds_DS003.jpg,2a4f5f7d-7aa9-4697-b6e8-acbd41f546e9
DS004,train,False,phone,B0C2M4JXB1,"TCL 40XL 2023 Unlocked Cell Phone 4GB + 128GB, 6.75"" 90Hz Display, Smartphone Android 13, 50MP AI Camera Mobile Phone, 5000 mAh, 4G LTE, US Version, Dark Gray",TCL,139.99,new,https://m.media-amazon.com/images/I/71XeUB+2-lL._AC_SL1500_.jpg,escalate/swap,functional,"Doesn't work properly, want a refund.",35,"Photo taken at a warehouse returns dock: a cheap unbranded knock-off smartphone of a clearly different design and color (not the product in the reference image) lying on an anti-static blue mat on a workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays.",mismatch,-,-,ESCALATE,R1 identity_mismatch,ds_DS004.jpg,7caea212-6954-43e6-80a3-446688666d8f
DS005,train,False,phone,B0C34JC9S5,"Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Mineral Black, 163.06 x 74.8 x 8.45mm",Motorola,249.99,new,https://m.media-amazon.com/images/I/61QKKdjHV0L._AC_SL1500_.jpg,refurbish/screen_crack,physical_damage,"Dropped it and the screen cracked, still works fine.",8,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on a scuffed stainless-steel workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The front glass has a large spiderweb crack spreading from one corner; the phone is otherwise intact.",match,C,screen_crack,REFURBISH,max EV among allowed,ds_DS005.jpg,c2a80a08-b310-40f0-b1f7-4b5f0ccf9371
DS006,train,False,phone,B0BZ9LJPLQ,"Apple iPhone 14 Pro Max, 128GB, Space Black - Unlocked (Renewed Premium)",Apple,1152.94,renewed,https://m.media-amazon.com/images/I/51uD1lmrV8L._AC_SL1000_.jpg,refurbish/screen_crack,physical_damage,Screen cracked after a fall but it turns on.,7,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on a white plastic returns tote under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The front glass has a large spiderweb crack spreading from one corner; the phone is otherwise intact.",match,C,screen_crack,REFURBISH,max EV among allowed,ds_DS006.jpg,b39732d0-5cac-4e08-9df4-d92422fdf999
DS007,train,False,phone,B0B74K2RNH,"Black Shark 4 Pro 5G Unlocked Gaming Phone, Chinese Version Global RAM, 12+128GB Mobile Phone with 120W Charging 4500mAh, Snapdragon 888, 144Hz 6.67'' Screen, M",Black Shark,349.0,new,https://m.media-amazon.com/images/I/61UK3uVKfEL._AC_SL1500_.jpg,refurbish/screen_crack,physical_damage,"Dropped it and the screen cracked, still works fine.",38,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on a scuffed stainless-steel workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The front glass has a large spiderweb crack spreading from one corner; the phone is otherwise intact.",match,C,screen_crack,REFURBISH,max EV among allowed,ds_DS007.jpg,4bae00ae-f6c9-4c60-a993-e05c69cf0a60
DS008,train,False,phone,B0BZCP8HL4,"SAMSUNG Galaxy A54 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB w/ 6.4” Fluid Display Screen, Hi Res Camera, Long Battery Life, Refined De",SAMSUNG,399.99,new,https://m.media-amazon.com/images/I/61MEp5HIdBL._AC_SL1500_.jpg,refurbish/screen_crack,physical_damage,"Dropped it and the screen cracked, still works fine.",55,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on a white plastic returns tote under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The front glass has a large spiderweb crack spreading from one corner; the phone is otherwise intact.",match,C,screen_crack,REFURBISH,max EV among allowed,ds_DS008.jpg,137e0e2f-96f5-405f-8251-1f2baa67f1e5
DS009,train,False,phone,B0C352T6Z5,T‑Mobile 5G Hotspot by Quanta - D53 5G Broadband Hotspot - Connect to 32 Devices - Long Lasting 6460mAh Battery (Renewed),Quanta,30.0,renewed,https://m.media-amazon.com/images/I/415pg1El8FL._AC_SL1024_.jpg,liquidate/wrecked,physical_damage,"It was run over, completely smashed.",17,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on an anti-static blue mat on a workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The phone is destroyed: shattered glass front and back, a bent frame and a chunk missing from a corner.",match,D,screen_crack,LIQUIDATE,max EV among allowed,ds_DS009.jpg,970b9e7b-342e-4bd9-b60a-8696afd5c0fe
DS010,train,False,phone,B0C53P1NRZ,"Xgody X60 4G Unlocked Phones, 6'’ QHD Waterdrop Screen Dual Sim Unlocked Cell Phones, Quad-core 2GB+16GB Smartphones, 3000mAh Battery, Face Unlock, AI Camera 5M",Xgody,72.99,new,https://m.media-amazon.com/images/I/715qdKlGP1L._AC_SL1500_.jpg,liquidate/wrecked,physical_damage,"It was run over, completely smashed.",39,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on an anti-static blue mat on a workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The phone is destroyed: shattered glass front and back, a bent frame and a chunk missing from a corner.",match,D,screen_crack,LIQUIDATE,max EV among allowed,ds_DS010.jpg,76df1ec0-3071-482d-bd42-0ff9add0f395
DS011,train,False,phone,B0BWTHT3S1,Unlocked Smartphone 6.7inch Cell Phone IP14pro 2+16GB HD Full Screen Straight Talk Phone Dual Sim Unlocked Android Phones Boost Mobile Phone (Black),henghongshangmao,89.99,new,https://m.media-amazon.com/images/I/613hVg177cL._AC_SL1000_.jpg,liquidate/wrecked,physical_damage,"Crushed in a car door, totally broken.",6,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on an anti-static blue mat on a workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The phone is destroyed: shattered glass front and back, a bent frame and a chunk missing from a corner.",match,D,screen_crack,LIQUIDATE,max EV among allowed,ds_DS011.jpg,20a0b8d5-4c01-4a3f-a0c1-27f0b0ea278f
DS012,train,False,phone,B0BW3TH1QD,Unlocked Smartphone 6.7inch Cell Phone S22 Ultra 2+16GB HD Full Screen Straight Talk Phone Dual Sim Unlocked Android Phones Boost Mobile Phone (Black),HIEGOU,89.99,new,https://m.media-amazon.com/images/I/61oAnIYKPVL._AC_SL1500_.jpg,liquidate/wrecked,physical_damage,"It was run over, completely smashed.",38,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on a scuffed stainless-steel workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The phone is destroyed: shattered glass front and back, a bent frame and a chunk missing from a corner.",match,D,screen_crack,LIQUIDATE,max EV among allowed,ds_DS012.jpg,a6ee584a-0335-4bfb-9f2f-8275f2a96613
DS013,test,False,phone,B0BWYTHXCG,ONEPLUS Nord CE 3 Lite 5G Dual-SIM 128GB ROM + 8GB RAM (GSM only | No CDMA) Factory Unlocked 5G Smartphone (Pastel Lime) - International Version,OnePlus,277.5,new,https://m.media-amazon.com/images/I/51aI4iywLnL._AC_SL1028_.jpg,return_to_vendor/intact,functional,Speaker crackles and then cuts out.,17,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on a scuffed stainless-steel workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The smartphone itself is clean and undamaged.",match,A,screen_crack,RETURN_TO_VENDOR,max EV among allowed,ds_DS013.jpg,3b592e09-b52b-462c-9ffd-3d2db72202b0
DS014,train,False,phone,B0BRTYD5J2,"ExAchat G22+ Ultra 5G Smartphone - Unlocked Cell Phone - Sleek Design with Built-in Computer, Qualcomm 888 Chip, 7.3-inch HD+ Screen, Face Recognition, and Powe",ExAchat,169.99,new,https://m.media-amazon.com/images/I/71AEHA9FG3L._AC_SL1500_.jpg,return_to_vendor/intact,functional,Won't connect to any mobile network.,7,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on a scuffed stainless-steel workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The smartphone itself is clean and undamaged.",match,A,functional,RETURN_TO_VENDOR,max EV among allowed,ds_DS014.jpg,20c477a5-9f24-42d8-9a9d-6e799c841f80
DS015,train,False,phone,B0BWYVX9LY,ONEPLUS Nord CE 3 Lite 5G Dual-SIM 128GB ROM + 8GB RAM (GSM only | No CDMA) Factory Unlocked 5G Smartphone (Chromatic Gray) - International Version,ONEPLUS,275.0,new,https://m.media-amazon.com/images/I/51EE3x74TbL._AC_SL1066_.jpg,return_to_vendor/intact,functional,Speaker crackles and then cuts out.,21,"Photo taken at a warehouse returns dock: the exact same smartphone from the reference image (same brand, model, shape and color) lying on an anti-static blue mat on a workbench under harsh fluorescent light, shot slightly from above with a smartphone camera, realistic, natural shadows, no text overlays. The smartphone itself is clean and undamaged.",match,A,screen_crack,RETURN_TO_VENDOR,max EV among allowed,ds_DS015.jpg,d799b675-8238-421e-aabb-41ec89ecc812
